id,fecha,nivel,algoritmo,heuristica,resultado,motivo_corte,costo_solucion,nodos_expandidos,nodos_frontera_final,maxima_frontera,movimientos,empujes,tiempo_procesamiento_segundos,solucion,configuracion,gif,limites
2026-08-21_level_02_bfs,2026-08-21,levels/level_02.txt,bfs,null,success,,78,30375,19,866,78,17,0.157919,level_02_solucion_78_movimientos.md,config_level_02_bfs.json,../output/videos/aenigma_soko_01/bfs.gif,max_expanded_nodes=1000000; timeout_seconds=25
2026-08-21_level_02_astar_minimum_matching_manhattan,2026-08-21,levels/level_02.txt,astar,minimum_matching_manhattan,success,,78,30315,37,1015,78,17,0.214426,level_02_solucion_78_movimientos.md,config_level_02_astar_minimum_matching_manhattan.json,../output/videos/aenigma_soko_01/astar_minimum_matching_manhattan.gif,max_expanded_nodes=1000000; timeout_seconds=25
2026-08-21_level_02_astar_shortest_push_access,2026-08-21,levels/level_02.txt,astar,shortest_push_access,success,,78,26823,190,1199,78,17,0.896522,level_02_solucion_78_movimientos.md,config_level_02_astar_shortest_push_access.json,../output/videos/aenigma_soko_01/astar_shortest_push_access.gif,max_expanded_nodes=1000000; timeout_seconds=25
2026-08-21_aenigma_soko_03_bfs,2026-08-21,levels/aenigma_soko_03.txt,bfs,null,cutoff,max_expanded_nodes,,1000000,258826,258828,,,10.225394,solucion_no_encontrada,,,max_expanded_nodes=1000000; timeout_seconds=25
2026-08-21_aenigma_soko_03_dfs,2026-08-21,levels/aenigma_soko_03.txt,dfs,null,cutoff,max_expanded_nodes,,1000000,336,2007,,,6.037729,solucion_no_encontrada,,,max_expanded_nodes=1000000; timeout_seconds=25
2026-08-21_aenigma_soko_03_greedy_minimum_matching_manhattan,2026-08-21,levels/aenigma_soko_03.txt,greedy,minimum_matching_manhattan,success,,111,942,167,170,111,34,0.022756,2026-08-21_comparacion_aenigma_soko_03.md#greedy-con-minimum_matching_manhattan,,,max_expanded_nodes=1000000; timeout_seconds=25
2026-08-21_aenigma_soko_03_greedy_shortest_push_access,2026-08-21,levels/aenigma_soko_03.txt,greedy,shortest_push_access,cutoff,timeout,,619411,434920,434920,,,25.000050,solucion_no_encontrada,,,max_expanded_nodes=1000000; timeout_seconds=25
2026-08-21_aenigma_soko_03_greedy_deadlock_aware_reverse_push_matching,2026-08-21,levels/aenigma_soko_03.txt,greedy,deadlock_aware_reverse_push_matching,success,,98,337,124,125,98,34,0.007720,2026-08-21_comparacion_aenigma_soko_03.md#greedy-con-deadlock_aware_reverse_push_matching,,../output/videos/aenigma_soko_03/greedy_deadlock_aware_reverse_push_matching.gif,max_expanded_nodes=1000000; timeout_seconds=25
2026-08-21_aenigma_soko_03_astar_minimum_matching_manhattan,2026-08-21,levels/aenigma_soko_03.txt,astar,minimum_matching_manhattan,cutoff,timeout,,734874,189053,195649,,,25.000022,solucion_no_encontrada,,,max_expanded_nodes=1000000; timeout_seconds=25
2026-08-21_aenigma_soko_03_astar_shortest_push_access,2026-08-21,levels/aenigma_soko_03.txt,astar,shortest_push_access,cutoff,timeout,,580818,256456,257692,,,25.000063,solucion_no_encontrada,,,max_expanded_nodes=1000000; timeout_seconds=25
2026-08-21_aenigma_soko_03_astar_deadlock_aware_reverse_push_matching,2026-08-21,levels/aenigma_soko_03.txt,astar,deadlock_aware_reverse_push_matching,cutoff,timeout,,904003,169710,176430,,,25.000049,solucion_no_encontrada,,,max_expanded_nodes=1000000; timeout_seconds=25
